plot,treatment,row,column,block,insect_counts,sampling_date
101,2,1,1,1,4,6/17/88
102,5,1,2,1,1,6/17/88
103,1,1,3,1,0,6/17/88
104,6,1,4,1,0,6/17/88
201,3,2,1,1,0,6/17/88
202,4,2,2,1,0,6/17/88
203,2,2,3,2,2,6/17/88
204,6,2,4,2,1,6/17/88
301,1,3,1,2,2,6/17/88
302,4,3,2,2,1,6/17/88
303,5,3,3,2,0,6/17/88
304,3,3,4,2,1,6/17/88
401,2,4,1,3,15,6/17/88
402,1,4,2,3,0,6/17/88
403,3,4,3,3,3,6/17/88
404,5,4,4,3,15,6/17/88
501,6,5,1,3,16,6/17/88
502,4,5,2,3,0,6/17/88
503,6,5,3,4,12,6/17/88
504,4,5,4,4,1,6/17/88
601,5,6,1,4,0,6/17/88
602,3,6,2,4,4,6/17/88
603,1,6,3,4,4,6/17/88
604,2,6,4,4,28,6/17/88
701,1,7,1,5,0,6/17/88
702,4,7,2,5,0,6/17/88
703,3,7,3,5,0,6/17/88
704,6,7,4,5,0,6/17/88
801,5,8,1,5,0,6/17/88
802,2,8,2,5,2,6/17/88
101,2,1,1,1,17,6/22/88
102,5,1,2,1,1,6/22/88
103,1,1,3,1,22,6/22/88
104,6,1,4,1,4,6/22/88
201,3,2,1,1,2,6/22/88
202,4,2,2,1,0,6/22/88
203,2,2,3,2,5,6/22/88
204,6,2,4,2,0,6/22/88
301,1,3,1,2,0,6/22/88
302,4,3,2,2,0,6/22/88
303,5,3,3,2,1,6/22/88
304,3,3,4,2,5,6/22/88
401,2,4,1,3,5,6/22/88
402,1,4,2,3,36,6/22/88
403,3,4,3,3,0,6/22/88
404,5,4,4,3,4,6/22/88
501,6,5,1,3,0,6/22/88
502,4,5,2,3,2,6/22/88
503,6,5,3,4,3,6/22/88
504,4,5,4,4,2,6/22/88
601,5,6,1,4,0,6/22/88
602,3,6,2,4,7,6/22/88
603,1,6,3,4,2,6/22/88
604,2,6,4,4,14,6/22/88
701,1,7,1,5,2,6/22/88
702,4,7,2,5,1,6/22/88
703,3,7,3,5,17,6/22/88
704,6,7,4,5,0,6/22/88
801,5,8,1,5,0,6/22/88
802,2,8,2,5,6,6/22/88
101,2,1,1,1,84,6/27/88
102,5,1,2,1,2,6/27/88
103,1,1,3,1,62,6/27/88
104,6,1,4,1,3,6/27/88
201,3,2,1,1,1,6/27/88
202,4,2,2,1,0,6/27/88
203,2,2,3,2,0,6/27/88
204,6,2,4,2,0,6/27/88
301,1,3,1,2,53,6/27/88
302,4,3,2,2,1,6/27/88
303,5,3,3,2,1,6/27/88
304,3,3,4,2,24,6/27/88
401,2,4,1,3,4,6/27/88
402,1,4,2,3,6,6/27/88
403,3,4,3,3,4,6/27/88
404,5,4,4,3,0,6/27/88
501,6,5,1,3,1,6/27/88
502,4,5,2,3,0,6/27/88
503,6,5,3,4,0,6/27/88
504,4,5,4,4,1,6/27/88
601,5,6,1,4,0,6/27/88
602,3,6,2,4,1,6/27/88
603,1,6,3,4,1,6/27/88
604,2,6,4,4,30,6/27/88
701,1,7,1,5,5,6/27/88
702,4,7,2,5,0,6/27/88
703,3,7,3,5,4,6/27/88
704,6,7,4,5,3,6/27/88
801,5,8,1,5,1,6/27/88
802,2,8,2,5,1,6/27/88
101,2,1,1,1,85,6/29/88
102,5,1,2,1,2,6/29/88
103,1,1,3,1,4,6/29/88
104,6,1,4,1,1,6/29/88
201,3,2,1,1,3,6/29/88
202,4,2,2,1,0,6/29/88
203,2,2,3,2,4,6/29/88
204,6,2,4,2,2,6/29/88
301,1,3,1,2,6,6/29/88
302,4,3,2,2,1,6/29/88
303,5,3,3,2,1,6/29/88
304,3,3,4,2,5,6/29/88
401,2,4,1,3,20,6/29/88
402,1,4,2,3,30,6/29/88
403,3,4,3,3,22,6/29/88
404,5,4,4,3,0,6/29/88
501,6,5,1,3,0,6/29/88
502,4,5,2,3,0,6/29/88
503,6,5,3,4,13,6/29/88
504,4,5,4,4,0,6/29/88
601,5,6,1,4,0,6/29/88
602,3,6,2,4,5,6/29/88
603,1,6,3,4,15,6/29/88
604,2,6,4,4,3,6/29/88
701,1,7,1,5,19,6/29/88
702,4,7,2,5,0,6/29/88
703,3,7,3,5,30,6/29/88
704,6,7,4,5,6,6/29/88
801,5,8,1,5,1,6/29/88
802,2,8,2,5,9,6/29/88
101,2,1,1,1,135,7/6/88
102,5,1,2,1,7,7/6/88
103,1,1,3,1,51,7/6/88
104,6,1,4,1,6,7/6/88
201,3,2,1,1,0,7/6/88
202,4,2,2,1,0,7/6/88
203,2,2,3,2,21,7/6/88
204,6,2,4,2,0,7/6/88
301,1,3,1,2,31,7/6/88
302,4,3,2,2,0,7/6/88
303,5,3,3,2,0,7/6/88
304,3,3,4,2,0,7/6/88
401,2,4,1,3,35,7/6/88
402,1,4,2,3,60,7/6/88
403,3,4,3,3,0,7/6/88
404,5,4,4,3,1,7/6/88
501,6,5,1,3,1,7/6/88
502,4,5,2,3,0,7/6/88
503,6,5,3,4,0,7/6/88
504,4,5,4,4,0,7/6/88
601,5,6,1,4,0,7/6/88
602,3,6,2,4,9,7/6/88
603,1,6,3,4,29,7/6/88
604,2,6,4,4,76,7/6/88
701,1,7,1,5,48,7/6/88
702,4,7,2,5,1,7/6/88
703,3,7,3,5,2,7/6/88
704,6,7,4,5,0,7/6/88
801,5,8,1,5,0,7/6/88
802,2,8,2,5,38,7/6/88
101,2,1,1,1,65,7/13/88
102,5,1,2,1,0,7/13/88
103,1,1,3,1,23,7/13/88
104,6,1,4,1,0,7/13/88
201,3,2,1,1,2,7/13/88
202,4,2,2,1,27,7/13/88
203,2,2,3,2,0,7/13/88
204,6,2,4,2,22,7/13/88
301,1,3,1,2,20,7/13/88
302,4,3,2,2,0,7/13/88
303,5,3,3,2,0,7/13/88
304,3,3,4,2,0,7/13/88
401,2,4,1,3,12,7/13/88
402,1,4,2,3,10,7/13/88
403,3,4,3,3,0,7/13/88
404,5,4,4,3,0,7/13/88
501,6,5,1,3,5,7/13/88
502,4,5,2,3,0,7/13/88
503,6,5,3,4,0,7/13/88
504,4,5,4,4,0,7/13/88
601,5,6,1,4,11,7/13/88
602,3,6,2,4,0,7/13/88
603,1,6,3,4,8,7/13/88
604,2,6,4,4,44,7/13/88
701,1,7,1,5,33,7/13/88
702,4,7,2,5,0,7/13/88
703,3,7,3,5,0,7/13/88
704,6,7,4,5,5,7/13/88
801,5,8,1,5,0,7/13/88
802,2,8,2,5,7,7/13/88
101,2,1,1,1,94,7/21/88
102,5,1,2,1,3,7/21/88
103,1,1,3,1,21,7/21/88
104,6,1,4,1,0,7/21/88
201,3,2,1,1,0,7/21/88
202,4,2,2,1,0,7/21/88
203,2,2,3,2,9,7/21/88
204,6,2,4,2,0,7/21/88
301,1,3,1,2,12,7/21/88
302,4,3,2,2,0,7/21/88
303,5,3,3,2,0,7/21/88
304,3,3,4,2,1,7/21/88
401,2,4,1,3,27,7/21/88
402,1,4,2,3,61,7/21/88
403,3,4,3,3,1,7/21/88
404,5,4,4,3,3,7/21/88
501,6,5,1,3,0,7/21/88
502,4,5,2,3,0,7/21/88
503,6,5,3,4,1,7/21/88
504,4,5,4,4,0,7/21/88
601,5,6,1,4,0,7/21/88
602,3,6,2,4,1,7/21/88
603,1,6,3,4,25,7/21/88
604,2,6,4,4,9,7/21/88
701,1,7,1,5,1,7/21/88
702,4,7,2,5,1,7/21/88
703,3,7,3,5,0,7/21/88
704,6,7,4,5,0,7/21/88
801,5,8,1,5,0,7/21/88
802,2,8,2,5,8,7/21/88
101,2,1,1,1,13,7/27/88
102,5,1,2,1,1,7/27/88
103,1,1,3,1,16,7/27/88
104,6,1,4,1,6,7/27/88
201,3,2,1,1,0,7/27/88
202,4,2,2,1,0,7/27/88
203,2,2,3,2,7,7/27/88
204,6,2,4,2,0,7/27/88
301,1,3,1,2,3,7/27/88
302,4,3,2,2,1,7/27/88
303,5,3,3,2,0,7/27/88
304,3,3,4,2,0,7/27/88
401,2,4,1,3,6,7/27/88
402,1,4,2,3,5,7/27/88
403,3,4,3,3,0,7/27/88
404,5,4,4,3,0,7/27/88
501,6,5,1,3,1,7/27/88
502,4,5,2,3,0,7/27/88
503,6,5,3,4,0,7/27/88
504,4,5,4,4,0,7/27/88
601,5,6,1,4,0,7/27/88
602,3,6,2,4,0,7/27/88
603,1,6,3,4,13,7/27/88
604,2,6,4,4,4,7/27/88
701,1,7,1,5,0,7/27/88
702,4,7,2,5,0,7/27/88
703,3,7,3,5,0,7/27/88
704,6,7,4,5,0,7/27/88
801,5,8,1,5,0,7/27/88
802,2,8,2,5,0,7/27/88
101,2,1,1,1,6,8/3/88
102,5,1,2,1,2,8/3/88
103,1,1,3,1,4,8/3/88
104,6,1,4,1,2,8/3/88
201,3,2,1,1,2,8/3/88
202,4,2,2,1,0,8/3/88
203,2,2,3,2,5,8/3/88
204,6,2,4,2,0,8/3/88
301,1,3,1,2,6,8/3/88
302,4,3,2,2,0,8/3/88
303,5,3,3,2,1,8/3/88
304,3,3,4,2,1,8/3/88
401,2,4,1,3,0,8/3/88
402,1,4,2,3,0,8/3/88
403,3,4,3,3,0,8/3/88
404,5,4,4,3,0,8/3/88
501,6,5,1,3,0,8/3/88
502,4,5,2,3,0,8/3/88
503,6,5,3,4,0,8/3/88
504,4,5,4,4,0,8/3/88
601,5,6,1,4,0,8/3/88
602,3,6,2,4,0,8/3/88
603,1,6,3,4,27,8/3/88
604,2,6,4,4,5,8/3/88
701,1,7,1,5,1,8/3/88
702,4,7,2,5,0,8/3/88
703,3,7,3,5,0,8/3/88
704,6,7,4,5,0,8/3/88
801,5,8,1,5,0,8/3/88
802,2,8,2,5,1,8/3/88
