site,block,variety,yield
site_7,4,variety_23,NA
site_7,1,variety_22,2.881003192
site_7,2,variety_23,4.321504788
site_7,4,variety_3,4.321504788
site_7,3,variety_22,7.202507981
site_7,3,variety_34,10.08351117
site_7,2,variety_3,12.96451437
site_7,2,variety_22,14.40501596
site_7,1,variety_23,14.40501596
site_6,4,variety_22,24.40379175
site_7,4,variety_22,24.48852713
site_7,3,variety_23,24.48852713
site_6,3,variety_22,25.75955795
site_6,1,variety_22,27.11532416
site_7,3,variety_38,28.81003192
site_7,4,variety_24,33.13153671
site_6,2,variety_22,36.60568762
site_9,1,variety_22,39.31722004
site_7,3,variety_24,44.65554948
site_7,3,variety_12,47.53655267
site_7,4,variety_8,48.97705427
site_7,1,variety_3,53.29855906
site_7,2,variety_21,56.17956225
site_6,3,variety_23,56.94218074
site_7,4,variety_21,59.06056544
site_7,2,variety_34,59.06056544
site_7,2,variety_24,60.50106704
site_7,2,variety_8,63.38207023
site_7,2,variety_2,64.82257183
site_7,3,variety_2,67.70357502
site_7,3,variety_25,67.70357502
site_7,1,variety_34,67.70357502
site_7,4,variety_38,67.70357502
site_7,4,variety_4,70.58457821
site_7,1,variety_24,72.02507981
site_7,2,variety_4,72.02507981
site_7,4,variety_33,73.4655814
site_7,3,variety_21,80.66808938
site_9,3,variety_22,81.34597249
site_7,4,variety_14,82.10859098
site_6,1,variety_21,82.7017387
site_7,3,variety_8,83.54909258
site_7,4,variety_1,84.98959417
site_7,3,variety_17,86.43009577
site_7,3,variety_14,89.31109896
site_7,3,variety_11,99.39461013
site_7,3,variety_3,106.5971181
site_7,2,variety_9,106.5971181
site_6,4,variety_23,113.8843615
site_7,4,variety_2,116.6806293
site_7,1,variety_21,116.6806293
site_7,3,variety_9,118.1211309
site_7,1,variety_4,121.0021341
site_6,4,variety_38,126.0862574
site_6,1,variety_1,127.4420236
site_7,1,variety_2,128.2046421
site_7,2,variety_20,128.2046421
site_7,1,variety_8,128.2046421
site_9,1,variety_23,128.7977898
site_7,1,variety_1,129.6451437
site_7,4,variety_37,129.6451437
site_6,3,variety_3,131.5093222
site_7,3,variety_13,132.5261468
site_7,2,variety_36,132.5261468
site_7,2,variety_38,132.5261468
site_6,3,variety_21,132.8650884
site_7,2,variety_16,133.9666484
site_7,3,variety_37,135.40715
site_6,4,variety_2,135.5766208
site_7,3,variety_32,141.1691564
site_9,1,variety_34,142.3554519
site_7,4,variety_26,142.609658
site_9,1,variety_22,143.7112181
site_7,4,variety_27,144.0501596
site_7,2,variety_7,144.0501596
site_6,1,variety_34,146.4227505
site_7,3,variety_35,146.9311628
site_6,1,variety_2,147.7785167
site_6,2,variety_4,147.7785167
site_7,3,variety_30,148.3716644
site_7,2,variety_18,149.812166
site_7,4,variety_25,152.6931692
site_7,3,variety_16,154.1336708
site_7,4,variety_35,154.1336708
site_7,2,variety_5,154.1336708
site_6,3,variety_24,155.9131139
site_7,4,variety_12,158.4551756
site_7,4,variety_34,159.8956772
site_7,3,variety_1,161.3361788
site_7,1,variety_9,161.3361788
site_3,3,variety_25,163.461174
site_7,2,variety_35,164.217182
site_7,4,variety_5,164.217182
site_6,4,variety_3,168.1150098
site_6,2,variety_38,170.8265422
site_9,3,variety_22,170.8265422
site_9,4,variety_23,170.8265422
site_6,2,variety_24,172.1823084
site_6,1,variety_12,173.5380746
site_6,1,variety_24,173.5380746
site_7,2,variety_11,174.3006931
site_7,1,variety_26,175.7411947
site_7,1,variety_5,175.7411947
site_7,3,variety_5,175.7411947
site_7,4,variety_32,181.5032011
site_7,4,variety_16,184.3842043
site_6,1,variety_3,185.7399705
site_7,1,variety_25,185.8247059
site_6,2,variety_3,187.0957367
site_7,3,variety_10,187.2652075
site_7,4,variety_31,187.2652075
site_6,2,variety_12,188.4515029
