site,year,siteyear,rainfall,mgmt,plot,bloc,Ptrt,Inoc,Cv,order,enduse,Zadok1,SPAD1,SRints1,SRsev1,height,tiller,Zadok2,SRints2,SRsev2,SPAD2,tstwt,HI,yieldKG,yieldBU,tkw,myco,Protein,Moisture,Hardness,Starch,SDS,oldWSC,WSC,W,Cu,Fe,Mn,Zn,Cu_adj,Fe_adj,Mn_adj,Zn_adj,PT1,PT2,PT3,Pseeds,PT2adj,PT3adj,PSEEDSadj,P_uptake,Pfinal,Padj_final
Benge,2009,Benge2009,low,organic,1,1,high,myco,OTIS,1,hard,,,,,56.7,240,,,,,55,0.297297297,504.97,8.18,26.9,23.33333333,15.15,,,,14.8,366.3103817,320.6416405,,5.748,44,33.48,36.89,5.748,44,33.48,36.89,1647.12,1192.68,358.19,3017.04,1291.06,387.74,1523.52,0.7971,3375.23,1911.26
Benge,2009,Benge2009,low,organic,2,1,high,myco,BlancaG,2,hard,,,,,45.7,192,,,,,59,0.411764706,439.61,6.64,30.4,37.14285714,13.79,,,,14.8,298.7960419,272.0705473,,5.628,47.68,36.07,43.56,5.628,47.68,36.07,43.56,2091.3,1526.11,261.01,3320.37,913.26,156.2,1459.66,0.9033,3581.38,1615.86
Benge,2009,Benge2009,low,organic,3,1,high,myco,LOUISE,3,soft,,,,,53,360,,,,,55.13,0.311111111,1149.66,18.58,29.7,19.04761905,11.52,,,,12.2,385.2939783,294.5458346,,4.388,40.06,31.72,26.61,4.388,40.06,31.72,26.61,1957.78,653.93,235.79,2747.24,1284.48,463.15,3158.38,0.8721,2983.03,3621.53
Benge,2009,Benge2009,low,organic,4,1,high,myco,WALWORTH,4,hard,,,,,53.3,216,,,,,56.27,0.352941177,1112.68,17.62,24.8,5.555555556,13.71,,,,14.8,319.5950949,323.0947834,,4.946,41.81,32.04,28.52,4.946,41.81,32.04,28.52,2031.36,746.07,193.65,3133.89,1592.21,413.26,3487.01,0.894,3327.54,3900.27
Benge,2009,Benge2009,low,organic,5,1,high,myco,ALPOWA,5,soft,,,,,49.3,220,,,,,57.16,0.440677966,911.4,14.21,28.6,33.89830508,12.32,,,,13.4,252.9904787,250.1094427,,4.476,36.96,23.08,25.37,4.476,36.96,23.08,25.37,2081.86,1274.74,254.92,2768.23,1814.89,362.94,2522.98,0.8742,3023.15,2885.92
Benge,2009,Benge2009,low,organic,6,1,high,none,LOUISE,18,soft,,,,,59,208,,,,,54.5,,1136.32,18.58,29.9,42.30769231,12.27,,,,13.9,339.6337712,383.7171841,,4.509,39.03,32.46,25.42,4.509,39.03,32.46,25.42,1971.76,886.67,,2452.06,1721.46,,2786.33,,,
Benge,2009,Benge2009,low,organic,7,1,high,none,OTIS,20,hard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benge,2009,Benge2009,low,organic,8,1,high,none,WALWORTH,17,hard,,,,,52,340,,,,,55.89,,964.97,15.38,24.8,4,14.3,,,,17.7,247.2310799,266.7767231,,4.929,40.83,34.43,27,4.929,40.83,34.43,27,2003.77,771.66,,2963.15,1428.2,,2859.35,,,
Benge,2009,Benge2009,low,organic,9,1,high,none,ALPOWA,16,soft,,,,,53,228,,,,,57.03,0.484848485,1148.95,17.95,29.6,2,12.48,,,,10.5,374.7634807,337.6212057,,4.207,37.37,27.44,24.73,4.207,37.37,27.44,24.73,2246.2,1508.25,255.01,2686.35,2707.03,457.7,3086.5,0.8709,2941.36,3544.2
Benge,2009,Benge2009,low,organic,10,1,high,none,BlancaG,19,hard,,,,,43.7,256,,,,,59,0.418181818,609.59,9.21,32.2,11.62790698,14.55,,,,14.8,246.003146,286.8700165,,5.976,47.66,37.07,44.13,5.976,47.66,37.07,44.13,2099.21,1681.27,255.73,3357.91,1395.16,212.21,2046.97,0.9061,3613.64,2259.18
Benge,2009,Benge2009,low,organic,11,1,low,none,OTIS,41,hard,,,,,61.7,236,,,,,53.74,0.236842105,836.26,13.86,24.6,15.38461538,14.24,,,,14.8,269.7435283,185.1683407,,6.603,38.77,33.34,34.08,6.603,38.77,33.34,34.08,1743.64,1266.38,244.5,3107.65,2270.19,438.31,2598.8,0.8557,3352.15,3037.11
Benge,2009,Benge2009,low,organic,12,1,low,none,WALWORTH,42,hard,,,,,47.3,212,,,,,53.61,0.260869565,1005.58,16.71,22.3,,13.78,,,,9.6,465.7322501,294.457239,,4.87,42.18,34.86,28.91,4.87,42.18,34.86,28.91,1694.35,511.56,296.91,3005.94,986.65,572.65,3022.72,0.8407,3302.85,3595.37
Benge,2009,Benge2009,low,organic,13,1,low,none,LOUISE,43,soft,,,,,59.7,276,,,,,54.12,0.423076923,1218.74,20.06,26.8,18.96551724,11.14,,,,9,302.1579669,283.0854028,,4.668,40.38,36.15,29.4,4.668,40.38,36.15,29.4,1820.61,976.86,219.56,2977.3,2034.09,457.18,3628.54,0.8881,3196.86,4085.72
Benge,2009,Benge2009,low,organic,14,1,low,none,ALPOWA,44,soft,,,,,53.3,248,,,,,55.01,0.346153846,960.38,15.56,22.1,26.31578947,10.83,,,,13.4,331.258078,239.472485,,4.262,35.43,32.54,31.83,4.262,35.43,32.54,31.83,1802.87,1240.64,307.87,3090.15,1861.26,461.87,2967.72,0.8653,3398.02,3429.59
Benge,2009,Benge2009,low,organic,15,1,low,none,BlancaG,45,hard,,,,,45.3,172,,,,,57,0.444444444,690.58,10.79,29.2,17.39130435,12.59,,,,13.1,290.5219315,105.309798,,5.539,41.54,39.87,33.35,5.539,41.54,39.87,33.35,1735.71,869.06,257.99,3529.55,816.98,242.53,2437.43,0.9095,3787.54,2679.96
Benge,2009,Benge2009,low,organic,16,1,low,myco,BlancaG,56,hard,,,,,47.3,212,,,,,58,0.375,572.42,8.79,30.4,15.09433962,12.63,,,,12.8,374.7470622,342.1594233,,5.477,41.14,38.9,33.54,5.477,41.14,38.9,33.54,1624.77,1023.32,231.05,3415.48,797.4,180.04,1955.11,0.9157,3646.53,2135.15
Benge,2009,Benge2009,low,organic,17,1,low,myco,WALWORTH,59,hard,,,,,52,268,,,,,56.53,0.34375,864.92,13.63,23,17.30769231,13.13,,,,11.3,300.3256263,294.5751921,,4.54,48.72,38.01,31.84,4.54,48.72,38.01,31.84,1713.25,799.01,215.97,3253,1325.49,358.28,2813.57,0.887,3468.97,3171.85
Benge,2009,Benge2009,low,organic,18,1,low,myco,LOUISE,58,soft,,,,,64.7,296,,,,,55.51,0.382978723,1136.32,18.24,30.8,20,11.28,,,,9,217.2193251,300.0550953,,4.826,42.97,35.45,29.39,4.826,42.97,35.45,29.39,1956.38,873.05,172.39,3042.02,1695,334.68,3456.72,0.9117,3214.41,3791.4
Benge,2009,Benge2009,low,organic,19,1,low,myco,ALPOWA,57,soft,,,,,46,204,,,,,57,0.347826087,651.1,10.18,24.8,24,10.18,,,,11.9,441.4441478,459.2355743,,4.774,35.13,33.32,31.67,4.774,35.13,33.32,31.67,1533.47,1372.62,230.28,3454.76,1396.1,234.22,2249.4,0.9057,3685.04,2483.62
Benge,2009,Benge2009,low,organic,20,1,low,myco,OTIS,60,hard,,,,,61.7,240,,,,,57.16,0.205128205,829.46,12.93,25.7,8,11.84,,,,10.2,351.6751466,344.5979531,,6.303,40.38,38.1,36.51,6.303,40.38,38.1,36.51,1673.95,894.72,341.16,3572.52,1590.89,606.61,2963.27,0.8301,3913.68,3569.88
Benge,2009,Benge2009,low,organic,21,1,low,none,LOUISE,61,soft,,,,,59.7,356,,,,,51.96,0.155555556,1096.81,18.81,25.1,27.77777778,12.26,,,,9.6,335.4807269,304.2127108,,5.152,40.9,33.76,30.87,5.152,40.9,33.76,30.87,1878.96,1014.86,297.71,3119.32,1901.81,557.9,3421.31,0.8598,3417.03,3979.21
Benge,2009,Benge2009,low,organic,22,1,low,none,ALPOWA,62,soft,,,,,55.3,228,,,,,55.13,0.419354839,1208.46,19.53,22.1,30,11.86,,,,11.6,220.4659317,153.0679945,,4.348,35.18,31.27,29.95,4.348,35.18,31.27,29.95,1778.46,1087.99,207.42,2811.53,2053.88,391.57,3397.62,0.8967,3018.95,3789.19
Benge,2009,Benge2009,low,organic,23,1,low,none,BlancaG,63,hard,,,,,47,224,,,,,60.2,0.407407407,777.33,11.5,32.5,9.803921569,13.14,,,,10.8,182.560873,104.3104022,,7.429,40.88,37.65,33.03,7.429,40.88,37.65,33.03,1916.65,1323.16,361.61,3547.1,1400.11,382.64,2757.26,0.8781,3908.71,3139.9
Benge,2009,Benge2009,low,organic,24,1,low,none,OTIS,64,hard,,,,,63.3,216,,,,,55.64,0.392857143,783.77,12.55,21.9,18.86792453,12.95,,,,12.8,323.6320167,245.6430499,,6.019,41.09,40.41,32.19,6.019,41.09,40.41,32.19,1631.7,936.43,561.53,3288.61,1573.35,943.46,2577.52,0.732,3850.14,3520.98
Benge,2009,Benge2009,low,organic,25,1,low,none,WALWORTH,65,hard,,,,,48.7,212,,,,,55.01,0.380952381,704.75,11.41,20.2,32.69230769,12.98,,,,10.2,340.7518907,201.874047,,4.741,37.67,35.71,28.61,4.741,37.67,35.71,28.61,1593.16,801.06,397.32,3151.41,1082.81,537.06,2220.96,0.8053,3548.73,2758.02
Benge,2009,Benge2009,low,organic,26,1,low,myco,LOUISE,80,soft,,,,,60.3,356,,,,,53.99,0.219512195,1084.75,17.9,25.5,22.72727273,11.76,,,,12.2,421.2339992,449.5625845,,5.451,38.59,34.31,33.92,5.451,38.59,34.31,33.92,1597.98,1064.53,308.04,3029.37,1972.97,570.91,3286.11,0.852,3337.41,3857.02
Benge,2009,Benge2009,low,organic,27,1,low,myco,BlancaG,78,hard,,,,,47.3,252,,,,,59.7,0.393939394,871.31,13,33.8,32.5,13.05,,,,14.8,406.0309006,438.5127577,,5.312,43.02,39.73,33.2,5.312,43.02,39.73,33.2,1954.96,1163.41,188.46,3347.7,1379.92,223.53,2916.9,0.9288,3536.16,3140.43
Benge,2009,Benge2009,low,organic,28,1,low,myco,WALWORTH,76,hard,,,,,48.7,172,,,,,53.74,0.291666667,736.54,12.21,22,11.76470588,14.07,,,,11.9,228.4322801,257.1555171,,4.691,44.19,37.88,29.42,4.691,44.19,37.88,29.42,1557.39,624.95,288.31,3016.52,882.87,407.29,2221.8,0.8451,3304.83,2629.09
Benge,2009,Benge2009,low,organic,29,1,low,myco,ALPOWA,79,soft,,,,,55.3,292,,,,,53.36,0.322580645,1136.23,18.97,24.1,31.25,13.33,,,,12.2,219.8037302,251.4111869,,4.481,38.99,31.17,28.4,4.481,38.99,31.17,28.4,1852.51,947.42,249.79,2856,1681.62,,3245.08,,3105.79,
Benge,2009,Benge2009,low,organic,30,1,low,myco,OTIS,77,hard,,,,,57.3,344,,,,,54.63,0.295454546,760,12.4,24,37.5,13.72,,,,12.8,193.54217,247.7385509,,6.282,42.95,37.01,29.76,6.282,42.95,37.01,29.76,2129.36,998.35,277.39,3195.98,1626.5,451.93,2428.94,0.8431,3473.37,2880.87
Benge,2009,Benge2009,low,organic,31,1,high,myco,WALWORTH,21,hard,,,,,50.3,184,,,,,53.87,0.315789474,768.26,12.71,23.1,30.90909091,14.73,,,,16.8,237.7275129,37.60078601,,4.528,44.85,34.64,32.44,4.528,44.85,34.64,32.44,1531.88,481.48,366.26,2673.73,709.48,539.7,2054.13,0.7919,3039.99,2593.83
Benge,2009,Benge2009,low,organic,32,1,high,myco,OTIS,22,hard,,,,,56,232,,,,,55.89,0.344827586,862.82,13.75,25.6,6,13.43,,,,13.1,372.8456365,368.6039886,,5.545,44.17,38.3,30.53,5.545,44.17,38.3,30.53,2242.66,903.85,184.92,2817.85,1671.77,342.03,2431.31,0.8767,3002.77,2773.34
Benge,2009,Benge2009,low,organic,33,1,high,myco,LOUISE,23,soft,,,,,57.7,352,,,,,55.39,0.394736842,1158.72,18.64,27.5,9.259259259,11.1,,,,11.6,363.960498,270.2328537,,4.533,41.44,37.23,26.22,4.533,41.44,37.23,26.22,2097.36,646.4,147.93,2746.73,1279.71,292.86,3182.68,0.9157,2894.66,3475.54
Benge,2009,Benge2009,low,organic,34,1,high,myco,ALPOWA,24,soft,,,,,51,176,,,,,56.15,0.391304348,1090.84,17.31,23.9,23.40425532,11.37,,,,11.3,378.6360898,375.5824454,,4.287,37.67,32.19,27.54,4.287,37.67,32.19,27.54,1975.32,981.74,166.78,2741,,,,,2907.78,
Benge,2009,Benge2009,low,organic,35,1,high,myco,BlancaG,25,hard,,,,,45,280,,,,,61,0.4375,487.33,7.12,33.6,4.6875,13.95,,,,14.2,302.4895484,204.1131617,,5.344,45.27,37.29,34.17,5.344,45.27,37.29,34.17,2111.22,1214.2,343.52,3359.65,805.49,227.89,1637.27,0.8778,3703.17,1865.16
