block,range,row,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight
4,1,1,DAS004,100,149,39,0,127.8696774,56.4
4,1,2,Kaseberg,98,146,35,0,130.3677419,55
4,1,3,Bruneau,96,149,33,0,119.4387097,55.3
4,1,4,OR2090473,100,146,31,0,115.2232258,54.1
4,1,5,Bobtail,98,146,33,0,140.8283871,54.1
4,1,6,Norwest Duet,100,151,44,0,134.1148387,56.4
4,1,7,Norwest Tandem,100,145,30,0,121.7806452,54.7
4,1,8,IDN-02-29001A,100,145,36,0,135.9883871,57.5
4,1,9,06-03303B,99,146,36,0,140.516129,56.1
4,1,10,OR2100940,100,146,29,0,118.0335484,53.8
4,1,11,OR2080637,98,151,33,0,128.6503226,55
4,1,12,Mary,100,146,34,0,133.3341935,57.2
4,1,13,LCS Biancor,98,146,30,0,123.9664516,54.7
4,1,14,UI-WSU Huffman,100,149,35,0,130.523871,56.4
4,2,1,WB1376 CLP,98,144,34,0,142.8580645,59.5
4,2,2,LOR-833,100,139,34,0,132.2412903,55.8
4,2,3,SY  Ovation,100,143,37,0,144.1070968,57.5
4,2,4,UI Sparrow,100,152,32,0,133.0219355,56.4
4,2,5,LOR-978,100,146,32,0,118.1896774,56.1
4,2,6,IDO1004,100,146,38,0,125.84,57
4,2,7,Madsen,100,149,33,0,141.6090323,57.5
4,2,8,WB 456,100,139,32,0,124.4348387,58.6
4,2,9,Brundage,98,142,36,0,126.3083871,57.5
4,2,10,DAS003,100,146,33,0,143.3264516,57.8
4,2,11,UI Magic CLP,100,144,39,0,137.2374194,58.6
4,2,12,IDN-01-10704A,100,146,36,0,157.5341935,56.4
4,2,13,Stephens,100,146,39,0,143.4825806,56.1
4,2,14,IDO1005,100,150,39,2,165.9651613,57.8
4,3,1,WB1529,100,149,35,0,157.8464516,57.8
4,3,2,Rosalyn,93,147,37,0,158.6270968,57.2
4,3,3,SY 107,100,149,37,0,156.5974194,57
4,3,4,OR2080641,100,146,34,0,154.5677419,57.8
4,3,5,Jasper,100,146,36,0,139.1109677,56.1
4,3,6,UI Castle CLP,100,147,36,0,136.4567742,57.5
4,3,7,Madsen / Eltan (50/50),100,148,35,0,131.7729032,57.2
4,3,8,LOR-913,100,141,32,0,103.8258065,56.1
4,3,9,SY Assure,98,138,30,0,83.06064516,57.5
4,3,10,WB 528,100,143,33,0,106.48,59.2
4,3,11,UI Palouse,100,143,30,0,99.92258065,56.1
4,3,12,LCS Drive,100,143,30,0,105.2309677,55.3
4,3,13,Eltan,98,150,37,0,132.3974194,57.2
4,3,14,LCS Artdeco,97,144,32,0,121,53.8
1,4,1,IDN-01-10704A,100,146,40,0,150.04,56.1
1,4,2,SY 107,100,147,38,0,135.8322581,57.2
1,4,3,Brundage,100,143,36,0,136.3006452,58.1
1,4,4,WB1376 CLP,100,144,36,0,105.8554839,59.5
1,4,5,Jasper,100,145,37,0,107.1045161,52.7
1,4,6,LOR-913,100,144,36,0,108.6658065,56.1
1,4,7,Norwest Tandem,100,144,34,0,131.6167742,56.1
1,4,8,IDN-02-29001A,98,145,40,0,166.9019355,59.8
1,4,9,LCS Drive,98,146,32,0,142.5458065,55.5
