cutting,irrigation,plot,block,intercrop,yield,row,col
First,Full,1101,1,50A+50O,221.0418086,1,1
Second,Full,1101,1,50A+50O,355.0390465,1,1
Third,Full,1101,1,50A+50O,364.5041164,1,1
First,Full,1102,1,75A+25O,288.7987101,1,2
Second,Full,1102,1,75A+25O,606.483966,1,2
Third,Full,1102,1,75A+25O,368.4144758,1,2
First,Full,1103,1,50A+50F,466.7924407,1,3
Second,Full,1103,1,50A+50F,481.7557571,1,3
Third,Full,1103,1,50A+50F,311.7268391,1,3
First,Full,1104,1,75A+25M,556.9506162,1,4
Second,Full,1104,1,75A+25M,576.0907136,1,4
Third,Full,1104,1,75A+25M,511.5259859,1,4
First,Full,1105,1,50A+50M,422.916034,1,5
Second,Full,1105,1,50A+50M,466.6657535,1,5
Third,Full,1105,1,50A+50M,340.8286181,1,5
First,Full,1106,1,75A+25F,289.8350476,2,1
Second,Full,1106,1,75A+25F,573.5409233,2,1
Third,Full,1106,1,75A+25F,NA,2,1
First,Full,1107,1,50A+50M_AR,135.1821714,2,2
Second,Full,1107,1,50A+50M_AR,518.1580414,2,2
Third,Full,1107,1,50A+50M_AR,212.8699839,2,2
First,Full,1108,1,50A+50O_AR,113.7635531,2,3
Second,Full,1108,1,50A+50O_AR,252.0241257,2,3
Third,Full,1108,1,50A+50O_AR,299.9715406,2,3
First,Full,1109,1,50A+50F_AR,208.2608096,2,4
Second,Full,1109,1,50A+50F_AR,486.9707005,2,4
Third,Full,1109,1,50A+50F_AR,241.3737244,2,4
First,Full,1110,1,100A,540.5939219,2,5
Second,Full,1110,1,100A,644.2460682,2,5
Third,Full,1110,1,100A,548.6872114,2,5
First,Deficit,1201,1,100A,464.5257175,3,1
Second,Deficit,1201,1,100A,488.7449504,3,1
Third,Deficit,1201,1,100A,490.9586093,3,1
First,Deficit,1202,1,50A+50F,559.5734559,3,2
Second,Deficit,1202,1,50A+50F,380.0728174,3,2
Third,Deficit,1202,1,50A+50F,363.7647078,3,2
First,Deficit,1203,1,50A+50F_AR,586.9591682,3,3
Second,Deficit,1203,1,50A+50F_AR,189.4805714,3,3
Third,Deficit,1203,1,50A+50F_AR,232.6937372,3,3
First,Deficit,1204,1,50A+50M,469.4108222,3,4
Second,Deficit,1204,1,50A+50M,376.7503005,3,4
Third,Deficit,1204,1,50A+50M,373.7278519,3,4
First,Deficit,1205,1,75A+25M,471.8906528,3,5
Second,Deficit,1205,1,75A+25M,336.0783405,3,5
Third,Deficit,1205,1,75A+25M,416.0919308,3,5
First,Deficit,1206,1,75A+25F,384.9503012,4,1
Second,Deficit,1206,1,75A+25F,334.9147674,4,1
Third,Deficit,1206,1,75A+25F,604.4794694,4,1
First,Deficit,1207,1,50A+50M_AR,261.7470544,4,2
Second,Deficit,1207,1,50A+50M_AR,194.1155122,4,2
Third,Deficit,1207,1,50A+50M_AR,203.0650922,4,2
First,Deficit,1208,1,75A+25O,386.6887892,4,3
Second,Deficit,1208,1,75A+25O,245.6523697,4,3
Third,Deficit,1208,1,75A+25O,313.7386303,4,3
First,Deficit,1209,1,50A+50O_AR,417.4414828,4,4
Second,Deficit,1209,1,50A+50O_AR,177.3988112,4,4
Third,Deficit,1209,1,50A+50O_AR,237.0967301,4,4
First,Deficit,1210,1,50A+50O,522.1993268,4,5
Second,Deficit,1210,1,50A+50O,316.7955158,4,5
Third,Deficit,1210,1,50A+50O,421.5473756,4,5
First,Deficit,2101,2,50A+50F_AR,347.9104257,1,6
Second,Deficit,2101,2,50A+50F_AR,316.4699385,1,6
Third,Deficit,2101,2,50A+50F_AR,172.5797399,1,6
First,Deficit,2102,2,75A+25M,508.5032727,1,7
Second,Deficit,2102,2,75A+25M,351.0524602,1,7
Third,Deficit,2102,2,75A+25M,411.0105033,1,7
First,Deficit,2103,2,50A+50M,571.2395455,1,8
Second,Deficit,2103,2,50A+50M,406.9929796,1,8
Third,Deficit,2103,2,50A+50M,360.5226884,1,8
First,Deficit,2104,2,75A+25F,627.7680045,1,9
Second,Deficit,2104,2,75A+25F,385.6334968,1,9
Third,Deficit,2104,2,75A+25F,649.9304715,1,9
First,Deficit,2105,2,100A,696.9109572,1,10
Second,Deficit,2105,2,100A,502.612898,1,10
Third,Deficit,2105,2,100A,426.7880873,1,10
First,Deficit,2106,2,50A+50M_AR,259.5526531,2,6
