animal,location,trt,b_star
1,superficial,alt,21.5
1,deep,alt,20.1
1,superficial,traditional,17.9
1,deep,traditional,20
2,superficial,traditional,16.8
2,deep,traditional,15.2
2,superficial,alt,18.2
2,deep,alt,18.5
3,superficial,alt,20.3
3,deep,alt,24.5
3,superficial,traditional,22.3
3,deep,traditional,19.7
4,superficial,traditional,17.3
4,deep,traditional,18.5
4,superficial,alt,17.5
4,deep,alt,22.6
5,superficial,alt,17.9
5,deep,alt,23
5,superficial,traditional,20.4
5,deep,traditional,17.8
6,deep,traditional,17.1
6,superficial,traditional,14.2
6,superficial,alt,17.8
6,deep,alt,19.2
7,superficial,alt,13.2
7,deep,alt,19.8
7,superficial,traditional,16.5
7,deep,traditional,18.7
8,superficial,traditional,13.7
8,deep,traditional,18.3
8,superficial,alt,15.5
8,deep,alt,19.4
9,superficial,alt,11
9,deep,alt,11.2
9,superficial,traditional,15
9,deep,traditional,15.4
10,superficial,traditional,19.8
10,deep,traditional,22
10,superficial,alt,15.3
10,deep,alt,16.6
11,superficial,alt,14.5
11,deep,alt,19.4
11,superficial,traditional,15.7
11,deep,traditional,18.6
