year,state,clone,LxW
2005,ID,a92030-5,1.85
2005,ID,a92294-6,2.23
2005,ID,a93157-6ls,1.87
2005,ID,a95109-1,1.66
2005,ID,a95409-1,1.94
2005,ID,a96023-6,2.1
2005,ID,a96095-3,1.97
2005,ID,a96104-2,1.89
2005,ID,a96108-12,1.69
2005,ID,a97142-3,1.89
2005,ID,a97229-1,2.04
2005,ID,a97287-6,2.35
2005,ID,a98104-4,1.98
2005,ID,ao96141-3,2.51
2005,ID,ao96160-3,1.98
2005,ID,ao96164-1,2.22
2005,ID,ao98133-2,1.84
2005,ID,aoa95154-1,1.79
2005,ID,aoa95155-7,1.94
2005,ID,atx91137-1ru,1.81
2005,ID,co94035-15ru,1.88
2005,ID,co95086-8ru,1.77
2005,ID,co95172-3ru,1.86
2005,ID,mwtx2609-2ru,1.8
2005,ID,pa97b3-2,1.8
2005,ID,ranger russet,2.48
2005,ID,ranger russet,2.47
2005,ID,russet burbank,2.38
2005,ID,russet burbank,2.4
2005,ID,txa549-1ru,1.53
2006,ID,a0008-1te,1.98
2006,ID,a95074-6,1.79
2006,ID,a95109-1,1.89
2006,ID,a95409-1,2.09
2006,ID,a96104-2,1.83
2006,ID,a97066-42lb,1.59
2006,ID,a97287-6,2.02
2006,ID,a99006-2te,2.04
2006,ID,a99040-1te,2.09
2006,ID,ac96052-1ru,1.79
2006,ID,ao96141-3,2.2
2006,ID,ao96160-3,1.98
2006,ID,ao96164-1,2.26
2006,ID,aoa95154-1,1.81
2006,ID,aoa95155-7,1.86
2006,ID,aotx95265-2aru,1.89
2006,ID,aotx95265-4ru,1.92
2006,ID,co94035-15ru,1.69
2006,ID,mwtx2609-4ru,1.98
2006,ID,pa00n10-5,1.37
2006,ID,pa98nm2-3,1.56
2006,ID,pa98nm30-11,2.26
2006,ID,pa99n2-1,1.44
2006,ID,pa99n46-1,1.58
2006,ID,pa99n82-4,1.66
2006,ID,ranger russet,2.63
2006,ID,ranger russet,2.27
2006,ID,russet burbank,2.03
2006,ID,russet burbank,2.21
2006,ID,txa549-1ru,1.49
2007,ID,a0008-1te,1.9
2007,ID,a95409-1,2.04
2007,ID,a96104-2,2.22
2007,ID,a96814-65lb,1.67
2007,ID,a97066-42lb,1.59
2007,ID,a97287-6,2.23
2007,ID,a98345-1,1.88
2007,ID,a99073-1,1.53
2007,ID,ac96052-1ru,1.65
2007,ID,ao96141-3,2.28
2007,ID,ao96164-1,2.22
2007,ID,ao96305-3,2.6
2007,ID,ao96365-2,1.97
2007,ID,aoa95154-1,1.83
2007,ID,aoa95155-7,2.01
2007,ID,aotx95265-3ru,2.34
2007,ID,co97087-2ru,2.3
2007,ID,pa00n14-2,2.39
2007,ID,pa00n15-2,2.2
2007,ID,pa98nm38-1,1.89
2007,ID,pa98nm39-1,1.98
2007,ID,pa99n12-1,1.6
2007,ID,pa99n2-1,1.42
2007,ID,pa99n82-4,1.72
2007,ID,ranger russet,2.5
2007,ID,ranger russet,2.59
2007,ID,russet burbank,2.3
2007,ID,russet burbank,2.49
2007,ID,txa549-1ru,1.54
2008,ID,a0008-1te,1.87
2008,ID,a00324-1,1.94
2008,ID,a00646-4,1.78
2008,ID,a96814-65lb,1.56
