block,variety,yield
1,variety_1,127.4420236
1,variety_10,528.7488212
1,variety_11,409.4413949
1,variety_12,173.5380746
1,variety_13,607.3832612
1,variety_14,338.941552
1,variety_15,616.8736247
1,variety_16,424.3548231
1,variety_17,393.1722004
1,variety_18,273.864774
1,variety_19,311.8262279
1,variety_2,147.7785167
1,variety_20,352.4992141
1,variety_21,82.7017387
1,variety_22,27.11532416
1,variety_23,268.4417092
1,variety_24,173.5380746
1,variety_25,625.008222
1,variety_26,862.2673084
1,variety_27,745.6714145
1,variety_28,440.6240176
1,variety_29,538.2391846
1,variety_3,185.7399705
1,variety_30,479.9412377
1,variety_31,507.0565618
1,variety_32,581.6237033
1,variety_33,554.5083791
1,variety_34,146.4227505
1,variety_35,246.7494499
1,variety_36,447.4028487
1,variety_37,440.6240176
1,variety_38,223.7014243
1,variety_4,200.6533988
1,variety_5,188.4515029
1,variety_6,432.4894204
1,variety_7,345.7203831
1,variety_8,511.1238605
1,variety_9,616.8736247
2,variety_1,417.5759921
2,variety_10,625.008222
2,variety_11,580.2679371
2,variety_12,188.4515029
2,variety_13,523.3257563
2,variety_14,408.0856286
2,variety_15,932.7671512
2,variety_16,477.2297053
2,variety_17,383.6818369
2,variety_18,284.7109037
2,variety_19,422.9990569
2,variety_2,210.1437623
2,variety_20,578.9121709
2,variety_21,196.5861002
2,variety_22,36.60568762
2,variety_23,207.4322298
2,variety_24,172.1823084
2,variety_25,615.5178585
2,variety_26,603.3159626
2,variety_27,703.642662
2,variety_28,348.4319155
2,variety_29,627.7197544
2,variety_3,187.0957367
2,variety_30,798.5462966
2,variety_31,451.4701473
2,variety_32,589.7583005
2,variety_33,484.0085363
2,variety_34,271.1532416
2,variety_35,328.0954224
2,variety_36,340.2973182
2,variety_37,475.8739391
2,variety_38,170.8265422
2,variety_4,147.7785167
2,variety_5,319.9608251
2,variety_6,241.326385
2,variety_7,341.6530845
2,variety_8,623.6524557
2,variety_9,422.9990569
3,variety_1,619.5851571
3,variety_10,947.6805795
3,variety_11,422.9990569
3,variety_12,418.9317583
3,variety_13,657.5466109
3,variety_14,662.9696758
3,variety_15,657.5466109
3,variety_16,210.1437623
3,variety_17,536.8834184
3,variety_18,451.4701473
3,variety_19,455.5374459
3,variety_2,206.0764636
3,variety_20,665.6812082
3,variety_21,132.8650884
3,variety_22,25.75955795
3,variety_23,56.94218074
3,variety_24,155.9131139
3,variety_25,572.1333398
3,variety_26,573.489106
3,variety_27,527.393055
3,variety_28,649.4120137
3,variety_29,385.0376031
3,variety_3,131.5093222
3,variety_30,380.9703045
3,variety_31,775.4982711
3,variety_32,555.8641453
3,variety_33,463.6720432
3,variety_34,276.5763065
3,variety_35,345.7203831
3,variety_36,351.1434479
3,variety_37,595.1813654
3,variety_38,229.1244892
3,variety_4,225.0571906
3,variety_5,366.0568762
3,variety_6,782.2771021
3,variety_7,374.1914734
3,variety_8,681.9504027
3,variety_9,745.6714145
4,variety_1,218.2783595
4,variety_10,688.7292337
4,variety_11,654.8350785
4,variety_12,268.4417092
4,variety_13,866.334607
4,variety_14,501.633497
4,variety_15,691.4407662
4,variety_16,429.777888
4,variety_17,523.3257563
4,variety_18,485.3643025
4,variety_19,298.2685658
4,variety_2,135.5766208
4,variety_20,584.3352357
4,variety_21,192.5188016
4,variety_22,24.40379175
4,variety_23,113.8843615
4,variety_24,258.9513458
4,variety_25,379.6145383
4,variety_26,862.2673084
4,variety_27,485.3643025
4,variety_28,627.7197544
4,variety_29,329.4511886
4,variety_3,168.1150098
4,variety_30,734.8252848
4,variety_31,672.4600392
4,variety_32,562.6429764
4,variety_33,623.6524557
4,variety_34,203.3649312
4,variety_35,269.7974754
4,variety_36,291.4897347
4,variety_37,557.2199115
4,variety_38,126.0862574
4,variety_4,390.4606679
4,variety_5,275.2205403
4,variety_6,600.6044302
4,variety_7,431.1336542
4,variety_8,300.9800982
4,variety_9,469.095108
