"block","week","plot","variety","y"
1,"1","1","1",5
1,"2","1","1",4.84
1,"3","1","1",4.02
1,"4","1","1",3.75
1,"5","1","1",3.13
2,"1","2","1",4.42
2,"2","2","1",4.3
2,"3","2","1",3.67
2,"4","2","1",3.23
2,"5","2","1",2.83
3,"1","3","1",4.42
3,"2","3","1",4.1
3,"3","3","1",3.46
3,"4","3","1",3.09
3,"5","3","1",2.82
4,"1","4","1",4.01
4,"2","4","1",3.89
4,"3","4","1",3.21
4,"4","4","1",2.89
4,"5","4","1",2.56
5,"1","5","1",3.36
5,"2","5","1",3.1
5,"3","5","1",2.67
5,"4","5","1",2.47
5,"5","5","1",2.16
1,"1","6","2",5.82
1,"2","6","2",5.6
1,"3","6","2",5.05
1,"4","6","2",4.72
1,"5","6","2",4.46
2,"1","7","2",5.73
2,"2","7","2",5.59
2,"3","7","2",5
2,"4","7","2",4.65
2,"5","7","2",4.42
3,"1","8","2",5.31
3,"2","8","2",5.19
3,"3","8","2",4.86
3,"4","8","2",4.44
3,"5","8","2",4.22
4,"1","9","2",4.92
4,"2","9","2",4.66
4,"3","9","2",4.56
4,"4","9","2",4.16
4,"5","9","2",3.99
5,"1","10","2",3.96
5,"2","10","2",3.86
5,"3","10","2",3.5
5,"4","10","2",3.13
5,"5","10","2",2.95
1,"1","11","3",5.65
1,"2","11","3",5.97
1,"3","11","3",5.27
1,"4","11","3",5.07
1,"5","11","3",4.52
2,"1","12","3",5.39
2,"2","12","3",5.49
2,"3","12","3",5.08
2,"4","12","3",4.87
2,"5","12","3",4.32
3,"1","13","3",5.15
3,"2","13","3",5.28
3,"3","13","3",4.93
3,"4","13","3",4.67
3,"5","13","3",4.15
4,"1","14","3",4.5
4,"2","14","3",4.89
4,"3","14","3",4.74
4,"4","14","3",4.49
4,"5","14","3",4.1
5,"1","15","3",3.75
5,"2","15","3",3.74
5,"3","15","3",3.55
5,"4","15","3",3.28
5,"5","15","3",3
1,"1","16","4",5.86
1,"2","16","4",5.6
1,"3","16","4",5.37
1,"4","16","4",5
1,"5","16","4",4.37
2,"1","17","4",5.82
2,"2","17","4",5.55
2,"3","17","4",5.29
2,"4","17","4",4.95
2,"5","17","4",4.07
3,"1","18","4",5.26
3,"2","18","4",5.06
3,"3","18","4",4.76
3,"4","18","4",4.48
3,"5","18","4",3.94
4,"1","19","4",4.87
4,"2","19","4",4.75
4,"3","19","4",4.55
4,"4","19","4",4.33
4,"5","19","4",3.83
5,"1","20","4",3.96
5,"2","20","4",3.76
5,"3","20","4",3.56
5,"4","20","4",3.18
5,"5","20","4",2.96
