"ID","LOCATION","PLOT","REP","WHOLE_PLOT","SUB_PLOT","TRT_COMB","ROWS","COLUMNS"
1,1,1,1,"B","2","B|2",1,1
2,1,1,1,"B","3","B|3",2,1
3,1,1,1,"B","1","B|1",3,1
4,1,2,1,"C","2","C|2",1,2
5,1,2,1,"C","1","C|1",2,2
6,1,2,1,"C","3","C|3",3,2
7,1,3,1,"A","1","A|1",1,3
8,1,3,1,"A","2","A|2",2,3
9,1,3,1,"A","3","A|3",3,3
10,1,101,2,"C","2","C|2",4,1
11,1,101,2,"C","3","C|3",5,1
12,1,101,2,"C","1","C|1",6,1
13,1,102,2,"A","1","A|1",4,2
14,1,102,2,"A","2","A|2",5,2
15,1,102,2,"A","3","A|3",6,2
16,1,103,2,"B","1","B|1",4,3
17,1,103,2,"B","2","B|2",5,3
18,1,103,2,"B","3","B|3",6,3
19,1,201,3,"A","2","A|2",7,1
20,1,201,3,"A","1","A|1",8,1
21,1,201,3,"A","3","A|3",9,1
22,1,202,3,"C","1","C|1",7,2
23,1,202,3,"C","3","C|3",8,2
24,1,202,3,"C","2","C|2",9,2
25,1,203,3,"B","1","B|1",7,3
26,1,203,3,"B","3","B|3",8,3
27,1,203,3,"B","2","B|2",9,3
