plot,bloc,Ptrt,Inoc,Cv,time,P_leaf
1,1,high,none,Louise,PT1,3153.56
1,1,high,none,Louise,PT2,2330.62
1,1,high,none,Louise,PT3,246.94
2,1,high,none,Blanca Grande,PT1,3015.97
2,1,high,none,Blanca Grande,PT2,2160.43
2,1,high,none,Blanca Grande,PT3,116.58
3,1,high,none,Walworth,PT1,2688.4
3,1,high,none,Walworth,PT2,2030.94
3,1,high,none,Walworth,PT3,237.22
4,1,high,none,Alpowa,PT1,3278.15
4,1,high,none,Alpowa,PT2,2212.63
4,1,high,none,Alpowa,PT3,149.97
5,1,high,none,Otis,PT1,3095.96
5,1,high,none,Otis,PT2,1910.25
5,1,high,none,Otis,PT3,99.36
6,1,high,myco,Louise,PT1,3047.06
6,1,high,myco,Louise,PT2,2478.69
6,1,high,myco,Louise,PT3,102.24
7,1,high,myco,Walworth,PT1,2653.33
7,1,high,myco,Walworth,PT2,1845.89
7,1,high,myco,Walworth,PT3,395.48
8,1,high,myco,Alpowa,PT1,3048.42
8,1,high,myco,Alpowa,PT2,2119.95
8,1,high,myco,Alpowa,PT3,121.31
9,1,high,myco,Otis,PT1,2812.55
9,1,high,myco,Otis,PT2,1794.94
9,1,high,myco,Otis,PT3,221.62
10,1,high,myco,Blanca Grande,PT1,2836.97
10,1,high,myco,Blanca Grande,PT2,2166.25
10,1,high,myco,Blanca Grande,PT3,315.9
11,1,low,myco,Louise,PT1,2865.5
11,1,low,myco,Louise,PT2,2257.2
11,1,low,myco,Louise,PT3,126.97
12,1,low,myco,Walworth,PT1,2366.51
12,1,low,myco,Walworth,PT2,1861.34
12,1,low,myco,Walworth,PT3,108.82
13,1,low,myco,Otis,PT1,2946.59
13,1,low,myco,Otis,PT2,2056.83
13,1,low,myco,Otis,PT3,97.25
14,1,low,myco,Blanca Grande,PT1,3101.53
14,1,low,myco,Blanca Grande,PT2,2291.24
14,1,low,myco,Blanca Grande,PT3,77.65
15,1,low,myco,Alpowa,PT1,2900.24
15,1,low,myco,Alpowa,PT2,1995.07
15,1,low,myco,Alpowa,PT3,103.65
16,1,low,none,Walworth,PT1,2688.32
16,1,low,none,Walworth,PT2,2100.78
16,1,low,none,Walworth,PT3,136.26
17,1,low,none,Blanca Grande,PT1,3300.29
17,1,low,none,Blanca Grande,PT2,2191.93
17,1,low,none,Blanca Grande,PT3,204.45
18,1,low,none,Otis,PT1,3078.67
18,1,low,none,Otis,PT2,2001.15
18,1,low,none,Otis,PT3,101.77
19,1,low,none,Alpowa,PT1,3095.95
19,1,low,none,Alpowa,PT2,1794.06
19,1,low,none,Alpowa,PT3,158.92
20,1,low,none,Louise,PT1,2765.21
20,1,low,none,Louise,PT2,2161.4
20,1,low,none,Louise,PT3,96.5
21,2,high,none,Alpowa,PT1,3326.34
21,2,high,none,Alpowa,PT2,2190.51
21,2,high,none,Alpowa,PT3,95.49
22,2,high,none,Otis,PT1,3316.29
22,2,high,none,Otis,PT2,2206.75
22,2,high,none,Otis,PT3,540.44
23,2,high,none,Blanca Grande,PT1,2891.15
23,2,high,none,Blanca Grande,PT2,1921.73
23,2,high,none,Blanca Grande,PT3,143.72
24,2,high,none,Louise,PT1,2868.94
24,2,high,none,Louise,PT2,2323.77
24,2,high,none,Louise,PT3,287.2
25,2,high,none,Walworth,PT1,2719.08
25,2,high,none,Walworth,PT2,2232.77
25,2,high,none,Walworth,PT3,265.17
26,2,high,myco,Blanca Grande,PT1,3246.61
26,2,high,myco,Blanca Grande,PT2,2223.95
26,2,high,myco,Blanca Grande,PT3,206.41
27,2,high,myco,Louise,PT1,3028.71
27,2,high,myco,Louise,PT2,2162.3
27,2,high,myco,Louise,PT3,160.93
28,2,high,myco,Otis,PT1,3160.97
28,2,high,myco,Otis,PT2,2273.23
28,2,high,myco,Otis,PT3,201.72
29,2,high,myco,Walworth,PT1,2678.77
29,2,high,myco,Walworth,PT2,2071.53
29,2,high,myco,Walworth,PT3,86.53
30,2,high,myco,Alpowa,PT1,3341.98
30,2,high,myco,Alpowa,PT2,2307.88
30,2,high,myco,Alpowa,PT3,110.01
31,2,low,myco,Louise,PT1,3058.75
