"rep","ibloc","range","row","variety","yield"
"1","1",1,1,"LCS Blackjack",NA
"1","1",1,2,"OR3230026 AX",68.9669055737705
"1","1",1,3,"Piranha CL+",NA
"1","1",1,4,"TMC M-Pire",80.8515585542169
"1","1",1,5,"LCS Reaper AX",88.444224
"1","1",1,6,"LCS Kamiak",86.1349819354839
"1","2",1,7,"Nimbus",81.0226538709677
"1","2",1,8,"UIL 13-046145A",NA
"1","2",1,9,"LWW21-1834",70.58898
"1","2",1,10,"OR2180149",86.1769520318725
"1","2",1,11,"OR2180350",73.30520736
"1","2",1,12,"Calypso",77.1435547826087
"1","3",1,13,"AP Iliad",57.1796465625
"1","3",1,14,"WB1922",58.4717507569721
"1","3",1,15,"OR2170559",67.9376634146341
"1","3",1,16,"VI Voodoo CL+",78.9999961445783
"1","3",1,17,"Norwest Tandem",73.5733690688259
"1","3",1,18,"LCS Scorpion AX",70.2803414634146
"1","4",2,18,"LCS Jefe",83.883492
"1","4",2,17,"OR5190014",78.1258624267782
"1","4",2,16,"LWWC21-0119",68.0859341772152
"1","4",2,15,"ARS Crescent",76.1598414159292
"1","4",2,14,"WA8397",85.9564311864407
"1","4",2,13,"LWWC21-0317",70.2723323076923
"1","5",2,12,"Rosalyn",82.3984667234043
"1","5",2,11,"Cameo",72.8993353846154
"1","5",2,10,"ORI2190025 CL+",69.7797692307692
"1","5",2,9,"Sockeye CL+",42.9976125957447
"1","5",2,8,"OR2180377",63.8133435193133
"1","5",2,7,"WA8405",82.5864092307692
"1","6",2,6,"WA8346 AX",66.9462983690987
"1","6",2,5,"LWW20-2867",77.6538213559322
"1","6",2,4,"AP Exceed",67.1541458823529
"1","6",2,3,"LWWA22-D33",NA
"1","6",2,2,"LWW20-2383",65.2321194893617
"1","6",2,1,"LCS Drive",NA
"1","7",3,1,"OR2200083 CL+",NA
"1","7",3,2,"WB1545",74.8888284375
"1","7",3,3,"WB1621",NA
"1","7",3,4,"TMC M-Press",68.8857159375
"1","7",3,5,"WA8404",76.6909255813953
"1","7",3,6,"ARS Castella",75.8054575384615
"1","8",3,7,"OR5180071",65.6912025
"1","8",3,8,"LWWC21-0331",58.6015900389105
"1","8",3,9,"LCS Shine",56.6656735135135
"1","8",3,10,"WA8398",65.1793195330739
"1","8",3,11,"ORI2190027 CL+",75.7002661016949
"1","8",3,12,"AP Olympia",81.6801448818898
"1","9",3,13,"Stephens",71.2869609375
"1","9",3,14,"LCS Hydra AX",77.5931717647059
"1","9",3,15,"OR5180072",74.5798447058824
"1","9",3,16,"Appleby CL+",60.8063300787401
"1","9",3,17,"UIL 17-7706 CL+",63.8315206299213
"1","9",3,18,"SY Assure",76.68616032
"2","10",4,18,"OR2200083 CL+",79.1286862978723
"2","10",4,17,"LCS Blackjack",79.2714805063291
"2","10",4,16,"LCS Shine",85.8419969874477
"2","10",4,15,"Nimbus",74.09556
"2","10",4,14,"Appleby CL+",72.0172558995816
"2","10",4,13,"ORI2190025 CL+",NA
"2","11",4,12,"WB1922",56.5276691803279
"2","11",4,11,"WA8404",60.5791269709544
"2","11",4,10,"LCS Reaper AX",66.274362
"2","11",4,9,"AP Exceed",58.1878456431535
"2","11",4,8,"Cameo",61.4088885245902
"2","11",4,7,"LWWC21-0331",67.473
"2","12",4,6,"WA8346 AX",60.17004
"2","12",4,5,"OR2180149",78.564816
"2","12",4,4,"AP Iliad",58.1742918218624
"2","12",4,3,"OR2180377",NA
"2","12",4,2,"ORI2190027 CL+",71.5937465060241
"2","12",4,1,"LWWC21-0119",NA
"2","13",5,1,"WA8398",NA
"2","13",5,2,"Rosalyn",64.3229429864253
"2","13",5,3,"Stephens",NA
"2","13",5,4,"Piranha CL+",58.6873089908257
"2","13",5,5,"TMC M-Press",74.7724003587444
"2","13",5,6,"VI Voodoo CL+",72.380385
"2","14",5,7,"LWWA22-D33",70.2098538053097
"2","14",5,8,"WB1545",65.0577312
"2","14",5,9,"LCS Kamiak",56.5199712
"2","14",5,10,"WA8397",66.891825
"2","14",5,11,"UIL 17-7706 CL+",62.8998690265487
"2","14",5,12,"UIL 13-046145A",85.454171838565
"2","15",5,13,"LWW20-2383",75.4737984
"2","15",5,14,"OR5180072",74.6001137219731
"2","15",5,15,"OR2180350",71.494459826087
"2","15",5,16,"LCS Scorpion AX",58.4724221052632
"2","15",5,17,"OR3230026 AX",64.3229429864253
"2","15",5,18,"OR5190014",68.0924475
"2","16",6,18,"WB1621",75.9699550188679
"2","16",6,17,"LCS Hydra AX",61.471872
"2","16",6,16,"AP Olympia",61.26813
"2","16",6,15,"LWW21-1834",61.2959029007634
"2","16",6,14,"ARS Crescent",63.1499834482759
"2","16",6,13,"TMC M-Pire",NA
"2","17",6,12,"WA8405",85.7849358778626
"2","17",6,11,"LWWC21-0317",62.0629476923077
"2","17",6,10,"Norwest Tandem",68.8908910344828
"2","17",6,9,"ARS Castella",72.440612519084
"2","17",6,8,"LWW20-2867",80.3727062068966
"2","17",6,7,"OR5180071",78.3062491603053
"2","18",6,6,"Calypso",73.1597710344828
"2","18",6,5,"Sockeye CL+",51.7191230769231
"2","18",6,4,"OR2170559",55.9239762162162
"2","18",6,3,"LCS Jefe",NA
"2","18",6,2,"LCS Drive",59.8635962790698
"2","18",6,1,"SY Assure",NA
"3","19",7,1,"LCS Kamiak",NA
"3","19",7,2,"OR2180377",79.2792
"3","19",7,3,"SY Assure",NA
"3","19",7,4,"OR2200083 CL+",68.3535122891566
"3","19",7,5,"LWWC21-0331",80.1063109311741
"3","19",7,6,"LCS Scorpion AX",78.7139824390244
"3","20",7,7,"OR2180149",99.264528
"3","20",7,8,"OR5180071",71.978544
"3","20",7,9,"OR5180072",64.0332
"3","20",7,10,"TMC M-Pire",71.717184
"3","20",7,11,"TMC M-Press",66.0952861016949
"3","20",7,12,"Sockeye CL+",67.1939877446809
"3","21",7,13,"ARS Crescent",NA
"3","21",7,14,"WB1545",71.0527390794979
"3","21",7,15,"LCS Shine",81.802413
"3","21",7,16,"AP Iliad",70.5704806694561
"3","21",7,17,"LWW20-2383",73.478097
"3","21",7,18,"Cameo",73.1732086307054
"3","22",8,18,"WA8405",88.7962466390042
"3","22",8,17,"WB1621",86.2488
"3","22",8,16,"OR2170559",77.6175711740891
"3","22",8,15,"WA8398",77.1509324696356
"3","22",8,14,"LWWA22-D33",80.4029777419355
"3","22",8,13,"OR3230026 AX",NA
"3","23",8,12,"LCS Reaper AX",83.853
"3","23",8,11,"Appleby CL+",69.7025426086957
"3","23",8,10,"LWW20-2867",71.96112
"3","23",8,9,"LCS Jefe",70.58898
"3","23",8,8,"VI Voodoo CL+",61.5626277165354
"3","23",8,7,"UIL 13-046145A",75.14936352
