year,location,block,variety,stand_pct,days_to_heading_julian,height,lodging,yield_bu_a,test_weight,range,row
2015,AB,4,DAS004,100,149,39,0,127.8696774,56.4,1,1
2015,AB,4,Kaseberg,98,146,35,0,130.3677419,55,1,2
2015,AB,4,Bruneau,96,149,33,0,119.4387097,55.3,1,3
2015,AB,4,OR2090473,100,146,31,0,115.2232258,54.1,1,4
2015,AB,4,Bobtail,98,146,33,0,140.8283871,54.1,1,5
2015,AB,4,Norwest Duet,100,151,44,0,134.1148387,56.4,1,6
2015,AB,4,Norwest Tandem,100,145,30,0,121.7806452,54.7,1,7
2015,AB,4,IDN-02-29001A,100,145,36,0,135.9883871,57.5,1,8
2015,AB,4,06-03303B,99,146,36,0,140.516129,56.1,1,9
2015,AB,4,OR2100940,100,146,29,0,118.0335484,53.8,1,10
2015,AB,4,OR2080637,98,151,33,0,128.6503226,55,1,11
2015,AB,4,Mary,100,146,34,0,133.3341935,57.2,1,12
2015,AB,4,LCS Biancor,98,146,30,0,123.9664516,54.7,1,13
2015,AB,4,UI-WSU Huffman,100,149,35,0,130.523871,56.4,1,14
2015,AB,4,WB1376 CLP,98,144,34,0,142.8580645,59.5,2,1
2015,AB,4,LOR-833,100,139,34,0,132.2412903,55.8,2,2
2015,AB,4,SY  Ovation,100,143,37,0,144.1070968,57.5,2,3
2015,AB,4,UI Sparrow,100,152,32,0,133.0219355,56.4,2,4
2015,AB,4,LOR-978,100,146,32,0,118.1896774,56.1,2,5
2015,AB,4,IDO1004,100,146,38,0,125.84,57,2,6
2015,AB,4,Madsen,100,149,33,0,141.6090323,57.5,2,7
2015,AB,4,WB 456,100,139,32,0,124.4348387,58.6,2,8
2015,AB,4,Brundage,98,142,36,0,126.3083871,57.5,2,9
2015,AB,4,DAS003,100,146,33,0,143.3264516,57.8,2,10
2015,AB,4,UI Magic CLP,100,144,39,0,137.2374194,58.6,2,11
2015,AB,4,IDN-01-10704A,100,146,36,0,157.5341935,56.4,2,12
2015,AB,4,Stephens,100,146,39,0,143.4825806,56.1,2,13
2015,AB,4,IDO1005,100,150,39,2,165.9651613,57.8,2,14
2015,AB,4,WB1529,100,149,35,0,157.8464516,57.8,3,1
2015,AB,4,Rosalyn,93,147,37,0,158.6270968,57.2,3,2
2015,AB,4,SY 107,100,149,37,0,156.5974194,57,3,3
2015,AB,4,OR2080641,100,146,34,0,154.5677419,57.8,3,4
2015,AB,4,Jasper,100,146,36,0,139.1109677,56.1,3,5
2015,AB,4,UI Castle CLP,100,147,36,0,136.4567742,57.5,3,6
2015,AB,4,Madsen / Eltan (50/50),100,148,35,0,131.7729032,57.2,3,7
2015,AB,4,LOR-913,100,141,32,0,103.8258065,56.1,3,8
2015,AB,4,SY Assure,98,138,30,0,83.06064516,57.5,3,9
2015,AB,4,WB 528,100,143,33,0,106.48,59.2,3,10
2015,AB,4,UI Palouse,100,143,30,0,99.92258065,56.1,3,11
2015,AB,4,LCS Drive,100,143,30,0,105.2309677,55.3,3,12
2015,AB,4,Eltan,98,150,37,0,132.3974194,57.2,3,13
2015,AB,4,LCS Artdeco,97,144,32,0,121,53.8,3,14
2015,AB,1,IDN-01-10704A,100,146,40,0,150.04,56.1,4,1
2015,AB,1,SY 107,100,147,38,0,135.8322581,57.2,4,2
2015,AB,1,Brundage,100,143,36,0,136.3006452,58.1,4,3
2015,AB,1,WB1376 CLP,100,144,36,0,105.8554839,59.5,4,4
2015,AB,1,Jasper,100,145,37,0,107.1045161,52.7,4,5
2015,AB,1,LOR-913,100,144,36,0,108.6658065,56.1,4,6
2015,AB,1,Norwest Tandem,100,144,34,0,131.6167742,56.1,4,7
2015,AB,1,IDN-02-29001A,98,145,40,0,166.9019355,59.8,4,8
2015,AB,1,LCS Drive,98,146,32,0,142.5458065,55.5,4,9
2015,AB,1,OR2090473,100,145,33,0,145.8245161,56.4,4,10
2015,AB,1,UI Magic CLP,100,145,34,0,139.5793548,59.2,4,11
2015,AB,1,Bruneau,98,145,33,0,152.2258065,57.5,4,12
2015,AB,1,Bobtail,100,147,39,0,148.7909677,55.3,4,13
2015,AB,1,Madsen / Eltan (50/50),100,146,35,0,139.5793548,56.4,4,14
2015,AB,1,Norwest Duet,100,150,43,0,110.0709677,53.8,5,1
2015,AB,1,06-03303B,100,146,36,0,130.9922581,55.5,5,2
2015,AB,1,LCS Artdeco,100,138,32,0,106.323871,53.6,5,3
2015,AB,1,SY  Ovation,100,140,35,0,119.7509677,57.8,5,4
2015,AB,1,LOR-833,100,137,32,0,100.2348387,56.7,5,5
2015,AB,1,IDO1004,100,143,36,0,110.6954839,57.8,5,6
2015,AB,1,Stephens,100,144,34,0,110.6954839,56.4,5,7
2015,AB,1,Rosalyn,100,144,38,0,143.6387097,57.2,5,8
2015,AB,1,IDO1005,100,147,41,0,143.6387097,57.2,5,9
2015,AB,1,WB 528,100,144,40,0,153.4748387,58.6,5,10
2015,AB,1,UI Sparrow,100,153,42,0,166.4335484,55.8,5,11
